Country:,Continent,Human Development
Switzerland,Europe,0.962
Norway,Europe,0.961
Iceland,Europe,0.959
Australia,Oceania,0.951
Denmark,Europe,0.948
Sweden,Europe,0.947
Ireland,Europe,0.945
Germany,Europe,0.942
Netherlands,Europe,0.941
Finland,Europe,0.940
Singapore,Asia,0.939
Belgium,Europe,0.937
New Zealand,Oceania,0.937
Canada,North America,0.936
Liechtenstein,Europe,0.935
Luxembourg,Europe,0.930
United Kingdom,Europe,0.929
Japan,Asia,0.925
United States,North America,0.921
Israel,Asia,0.919
Malta,Europe,0.918
Slovenia,Europe,0.918
Austria,Europe,0.916
United Arab Emirates,Asia,0.911
Spain,Europe,0.905
France,Europe,0.903
Cyprus,Europe,0.896
Italy,Europe,0.895
Estonia,Europe,0.890
Czechia,Europe,0.889
Greece,Europe,0.887
Poland,Europe,0.876
Bahrain,Asia,0.875
Lithuania,Europe,0.875
Saudi Arabia,Asia,0.875
Portugal,Europe,0.866
Latvia,Europe,0.863
Andorra,Europe,0.858
Croatia,Europe,0.858
Chile,South America,0.855
Qatar,Asia,0.855
San Marino,Europe,0.853
Slovakia,Europe,0.848
Hungary,Europe,0.846
Argentina,South America,0.842
Montenegro,Europe,0.832
Kuwait,Asia,0.831
Romania,Europe,0.821
Oman,Asia,0.816
Bahamas,North America,0.812
Kazakhstan,Asia,0.811
Trinidad and Tobago,North America,0.810
Costa Rica,North America,0.809
Uruguay,South America,0.809
Belarus,Europe,0.808
Panama,North America,0.805
Malaysia,Asia,0.803
Georgia,Europe,0.802
Mauritius,Africa,0.802
Serbia,Europe,0.802
Thailand,Asia,0.800
Albania,Europe,0.796
Bulgaria,Europe,0.795
Grenada,North America,0.795
Barbados,North America,0.790
Antigua and Barbuda,North America,0.788
Seychelles,Africa,0.785
Sri Lanka,Asia,0.782
Bosnia and Herzegovina,Europe,0.780
Saint Kitts and Nevis,North America,0.777
Ukraine,Europe,0.773
China,Asia,0.768
Dominican Republic,North America,0.767
Palau,Oceania,0.767
Cuba,North America,0.764
Peru,South America,0.762
Armenia,Europe,0.759
Mexico,North America,0.758
Brazil,South America,0.754
Colombia,South America,0.752
Saint Vincent and the Grenadines,North America,0.751
Maldives,Asia,0.747
Algeria,Africa,0.745
Azerbaijan,Europe,0.745
Tonga,Oceania,0.745
Turkmenistan,Asia,0.745
Ecuador,South America,0.740
Mongolia,Asia,0.739
Egypt,Africa,0.731
Tunisia,Africa,0.731
Fiji,Oceania,0.730
Suriname,South America,0.730
Uzbekistan,Asia,0.727
Dominica,North America,0.720
Jordan,Asia,0.720
Libya,Africa,0.718
Paraguay,South America,0.717
Saint Lucia,North America,0.715
Guyana,South America,0.714
South Africa,Africa,0.713
Jamaica,North America,0.709
Samoa,Oceania,0.707
Gabon,Africa,0.706
Lebanon,Asia,0.706
Indonesia,Asia,0.705
Philippines,Asia,0.699
Botswana,Africa,0.693
Kyrgyzstan,Asia,0.692
Iraq,Asia,0.686
Tajikistan,Asia,0.685
Belize,North America,0.683
Morocco,Africa,0.683
El Salvador,North America,0.675
Nicaragua,North America,0.667
Bhutan,Asia,0.666
Bangladesh,Asia,0.661
Tuvalu,Oceania,0.641
Marshall Islands,Oceania,0.639
India,Asia,0.633
Ghana,Africa,0.632
Guatemala,North America,0.627
Kiribati,Oceania,0.624
Honduras,North America,0.621
Sao Tome and Principe,Africa,0.618
Namibia,Africa,0.615
Vanuatu,Oceania,0.607
Nepal,Asia,0.602
Equatorial Guinea,Africa,0.596
Cambodia,Asia,0.593
Zimbabwe,Africa,0.593
Angola,Africa,0.586
Cameroon,Africa,0.576
Kenya,Africa,0.575
Congo,Africa,0.571
Zambia,Africa,0.565
Solomon Islands,Oceania,0.564
Comoros,Africa,0.558
Papua New Guinea,Oceania,0.558
Mauritania,Africa,0.556
Pakistan,Asia,0.544
Togo,Africa,0.539
Haiti,North America,0.535
Nigeria,Africa,0.535
Rwanda,Africa,0.534
Benin,Africa,0.525
Uganda,Africa,0.525
Lesotho,Africa,0.514
Malawi,Africa,0.512
Senegal,Africa,0.511
Djibouti,Africa,0.509
Sudan,Africa,0.508
Madagascar,Africa,0.501
Gambia,Africa,0.500
Ethiopia,Africa,0.498
Eritrea,Africa,0.492
Guinea-Bissau,Africa,0.483
Liberia,Africa,0.481
Afghanistan,Asia,0.478
Sierra Leone,Africa,0.477
Guinea,Africa,0.465
Yemen,Asia,0.455
Mozambique,Africa,0.446
Mali,Africa,0.428
Burundi,Africa,0.426
Central African Republic,Africa,0.404
Niger,Africa,0.400
Chad,Africa,0.394
South Sudan,Africa,0.385
Monaco,Europe,..
Nauru,Oceania,..
Somalia,Africa,..
